"Kernel Name","main_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f86d7775500","      LDC R1, c[0x0][0x28]","101","101","101","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101","0","0","0","0","0","0"
"0x7f86d7775510","      S2R R2, SR_TID.X","7","0","7","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775520","      SHF.R.U32.HI R0, RZ, 0x5, R2","125","96","125","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","114","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93","0","0","3"
"0x7f86d7775530","      SHFL.IDX PT, R3, R0, RZ, 0x1f","15","11","15","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"0x7f86d7775540","      ISETP.NE.AND P0, PT, R3, RZ, PT","98","83","98","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","90","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78","0","0","5"
"0x7f86d7775550","@P0   BRA 0x7f86d77757a0","58","49","58","98304","3145728","2883584","32","29","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","14","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","35"
"0x7f86d7775560","      ELECT P0, URZ, PT","16","11","16","8192","262144","262144","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"0x7f86d7775570","      BSSY B0, 0x7f86d77757a0","0","0","0","8192","262144","262144","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775580","@!P0  BRA 0x7f86d7775790","1","0","1","8192","262144","253952","32","31","8192","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775590","      S2UR UR8, SR_CgaCtaId","1","1","1","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77755a0","      ULDC.64 UR10, c[0x0][0x198]","7","7","7","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77755b0","      UMOV UR4, 0x400","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77755c0","      UIADD3 UR12, UP0, UR10, 0xf0, URZ","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77755d0","      UIADD3 UR14, UP1, UR10, 0x30, URZ","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77755e0","      UMOV UR5, 0x1","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d77755f0","      UIADD3 UR10, UP2, UR10, 0x170, URZ","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f86d7775600","      UIADD3.X UR13, URZ, UR11, URZ, UP0, !UPT","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
