"Kernel Name","main_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f4d7f775500","      LDC R1, c[0x0][0x28]","64","54","64","131072","4194304","4194304","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","0","0","0","0","0","0"
"0x7f4d7f775510","      S2R R4, SR_TID.X","2","1","2","131072","4194304","4194304","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"0x7f4d7f775520","      SHF.R.U32.HI R0, RZ, 0x5, R4","101","74","101","131072","4194304","4194304","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","88","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","4"
"0x7f4d7f775530","      SHFL.IDX PT, R2, R0, RZ, 0x1f","24","12","24","131072","4194304","4194304","32","32","0","-","-","-","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","8","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"0x7f4d7f775540","      ISETP.NE.AND P0, PT, R2, RZ, PT","193","159","193","131072","4194304","4194304","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","9","179","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","157","0","0","2"
"0x7f4d7f775550","@P0   BRA 0x7f4d7f775760","74","63","74","131072","4194304","3670016","32","28","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","29","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0","0","34"
"0x7f4d7f775560","      ELECT P0, URZ, PT","14","9","14","16384","524288","524288","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"0x7f4d7f775570","      BSSY B0, 0x7f4d7f775760","1","0","1","16384","524288","524288","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775580","@!P0  BRA 0x7f4d7f775750","4","0","4","16384","524288","507904","32","31","16384","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775590","      S2UR UR8, SR_CgaCtaId","5","4","5","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"0x7f4d7f7755a0","      ULDC.64 UR10, c[0x0][0x198]","9","9","9","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7755b0","      UMOV UR4, 0x400","1","0","1","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7755c0","      UIADD3 UR12, UP0, UR10, 0xf0, URZ","1","0","1","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7755d0","      UIADD3 UR14, UP1, UR10, 0x30, URZ","0","0","0","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7755e0","      UMOV UR5, 0x1","3","0","3","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7755f0","      UIADD3 UR10, UP2, UR10, 0x170, URZ","0","0","0","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775600","      UMOV UR6, 0x80","3","0","3","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775610","      UIADD3.X UR13, URZ, UR11, URZ, UP0, !UPT","2","0","2","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775620","      UIADD3 UR6, -UR6, 0x100000, URZ","1","0","1","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775630","      USHF.L.U32 UR7, UR6, 0xb, URZ","2","1","2","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7f4d7f775640","      USHF.L.U32 UR6, UR6, 0x1, URZ","1","1","1","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7f4d7f775650","      UIADD3.X UR15, URZ, UR11, URZ, UP1, !UPT","1","1","1","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0x7f4d7f775660","      UIADD3.X UR11, URZ, UR11, URZ, UP2, !UPT","0","0","0","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775670","      UTMACCTL.PF [UR12]","0","0","0","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775680","      ULEA UR8, UR8, UR4, 0x18","3","2","3","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"0x7f4d7f775690","      UIADD3 UR4, -UR5, 0x100000, URZ","1","0","1","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7756a0","      USHF.L.U32 UR5, UR4, 0xb, URZ","2","1","2","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7756b0","      USHF.L.U32 UR4, UR4, 0x1, URZ","3","2","3","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0x7f4d7f7756c0","      UTMACCTL.PF [UR14]","0","0","0","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7756d0","      UTMACCTL.PF [UR10]","0","0","0","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7756e0","      FENCE.VIEW.ASYNC.S","1","0","1","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7756f0","      SYNCS.EXCH.64 URZ, [UR8], UR4","7","3","7","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775700","      SYNCS.EXCH.64 URZ, [UR8+0x8], UR4","0","0","0","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775710","      SYNCS.EXCH.64 URZ, [UR8+0x10], UR6","0","0","0","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775720","      SYNCS.EXCH.64 URZ, [UR8+0x18], UR6","1","0","1","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775730","      SYNCS.EXCH.64 URZ, [UR8+0x20], UR4","4","2","4","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"0x7f4d7f775740","      NOP","4","3","4","16384","16384","16384","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775750","      BSYNC B0","3","2","3","32768","524288","524288","16","16","0","-","-","-","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"0x7f4d7f775760","      BAR.SYNC.DEFER_BLOCKING 0x0","67","48","67","131072","4194304","4194304","32","32","0","-","-","-","0","0","0","0","0","12","0","0","0","0","10","0","0","0","0","38","2","2","0","0","0","3","0","10","0","0","0","0","10","0","0","0","0","26","0","0","0","0","0","2"
"0x7f4d7f775770","      ISETP.GE.AND P0, PT, R4, 0x80, PT","2","0","2","131072","4194304","4194304","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775780","@!P0  BRA 0x7f4d7f777130","495","366","495","131072","4194304","2097152","32","16","0","-","-","-","0","0","0","0","468","0","0","0","0","0","0","0","0","0","0","4","4","3","0","0","0","16","352","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","12"
"0x7f4d7f775790","      WARPSYNC.ALL","14","8","14","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"0x7f4d7f7757a0","      NOP","10","6","10","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"0x7f4d7f7757b0","      USETMAXREG.DEALLOC.CTAPOOL 0x18","39","21","39","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21"
"0x7f4d7f7757c0","      LOP3.LUT R0, R0, 0x3, RZ, 0xc0, !PT","46","23","46","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","5","3","0","0","0","34","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","20"
"0x7f4d7f7757d0","      S2UR UR28, SR_CTAID.Y","11","4","11","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"0x7f4d7f7757e0","      UMOV UR27, URZ","0","0","0","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f7757f0","      SHFL.IDX PT, R2, R0, RZ, 0x1f","1","0","1","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775800","      S2UR UR29, SR_CTAID.Z","8","2","8","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0x7f4d7f775810","      ISETP.NE.AND P0, PT, R2, RZ, PT","44","12","44","65536","2097152","2097152","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","5","0","31","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","8","0","0","0"
"0x7f4d7f775820","@P0   BRA 0x7f4d7f775a10","25","9","25","65536","2097152","1572864","32","24","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","7"
"0x7f4d7f775830","      ELECT P0, URZ, PT","6","2","6","16384","524288","524288","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0x7f4d7f775840","      BSSY B0, 0x7f4d7f775a10","1","0","1","16384","524288","524288","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f4d7f775850","@!P0  BRA 0x7f4d7f775a00","7","0","7","16384","524288","507904","32","31","16384","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
