"Kernel Name","main_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7fadff775500","      LDC R1, c[0x0][0x28]","195","190","195","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","0","0","0","0","0","0"
"0x7fadff775510","      S2R R3, SR_TID.X","4","0","4","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff775520","      SHF.R.U32.HI R0, RZ, 0x5, R3","112","90","112","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","104","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87","0","0","3"
"0x7fadff775530","      SHFL.IDX PT, R2, R0, RZ, 0x1f","31","26","31","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"0x7fadff775540","      ISETP.NE.AND P0, PT, R2, RZ, PT","112","90","112","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","101","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","0","0","5"
"0x7fadff775550","@P0   BRA 0x7fadff7757a0","70","59","70","98304","3145728","2883584","32","29","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","21","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","38"
"0x7fadff775560","      ELECT P0, URZ, PT","19","14","19","8192","262144","262144","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14"
"0x7fadff775570","      BSSY B0, 0x7fadff7757a0","0","0","0","8192","262144","262144","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff775580","@!P0  BRA 0x7fadff775790","0","0","0","8192","262144","253952","32","31","8192","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7fadff775590","      S2UR UR8, SR_CgaCtaId","1","0","1","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
