"Kernel Name","main_kernel",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Divergent Branches","Address Space","Access Operation","Access Size","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Local","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f9033775500","      LDC R1, c[0x0][0x28]","98","92","98","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92","0","0","0","0","0","0"
"0x7f9033775510","      S2R R3, SR_TID.X","5","0","5","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775520","      IADD3 R1, R1, -0xd8, RZ","161","123","161","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","0","0","0"
"0x7f9033775530","      SHF.R.U32.HI R0, RZ, 0x5, R3","10","2","10","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0x7f9033775540","      SHFL.IDX PT, R2, R0, RZ, 0x1f","21","15","21","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"0x7f9033775550","      ISETP.NE.AND P0, PT, R2, RZ, PT","93","78","93","98304","3145728","3145728","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","85","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","0","0","2"
"0x7f9033775560","@P0   BRA 0x7f90337757b0","55","42","55","98304","3145728","2883584","32","29","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42"
"0x7f9033775570","      ELECT P0, URZ, PT","14","9","14","8192","262144","262144","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"0x7f9033775580","      BSSY B0, 0x7f90337757b0","0","0","0","8192","262144","262144","32","32","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775590","@!P0  BRA 0x7f90337757a0","0","0","0","8192","262144","253952","32","31","8192","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f90337755a0","      S2UR UR8, SR_CgaCtaId","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f90337755b0","      ULDC.64 UR10, c[0x0][0x198]","4","4","4","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f90337755c0","      UMOV UR4, 0x400","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f90337755d0","      UIADD3 UR12, UP0, UR10, 0xf0, URZ","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f90337755e0","      UIADD3 UR14, UP1, UR10, 0x30, URZ","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f90337755f0","      UMOV UR5, 0x1","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775600","      UIADD3 UR10, UP2, UR10, 0x170, URZ","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775610","      UIADD3.X UR13, URZ, UR11, URZ, UP0, !UPT","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775620","      UIADD3.X UR15, URZ, UR11, URZ, UP1, !UPT","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775630","      UMOV UR6, 0x100","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0x7f9033775640","      UIADD3.X UR11, URZ, UR11, URZ, UP2, !UPT","0","0","0","8192","8192","8192","1","1","0","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
